Date,Close
1/4/2021 16:00:00,49.59
1/5/2021 16:00:00,50.31
1/6/2021 16:00:00,49.82
1/7/2021 16:00:00,52.44
1/8/2021 16:00:00,52.73
1/11/2021 16:00:00,54.38
1/12/2021 16:00:00,56.45
1/13/2021 16:00:00,53.43
1/14/2021 16:00:00,49.03
1/15/2021 16:00:00,50.31
1/19/2021 16:00:00,50.39
1/20/2021 16:00:00,52.2
1/21/2021 16:00:00,54.4
1/22/2021 16:00:00,53.57
1/25/2021 16:00:00,53.65
1/26/2021 16:00:00,53.29
1/27/2021 16:00:00,48.95
1/28/2021 16:00:00,53.13
1/29/2021 16:00:00,52.94
2/1/2021 16:00:00,56.85
2/2/2021 16:00:00,58.87
2/3/2021 16:00:00,59.26
2/4/2021 16:00:00,58.31
2/5/2021 16:00:00,63.64
2/8/2021 16:00:00,63.78
2/9/2021 16:00:00,62.8
2/10/2021 16:00:00,62.6
2/11/2021 16:00:00,62.23
2/12/2021 16:00:00,61.97
2/16/2021 16:00:00,62.81
2/17/2021 16:00:00,62.72
2/18/2021 16:00:00,62.87
2/19/2021 16:00:00,65.52
2/22/2021 16:00:00,63.41
2/23/2021 16:00:00,70.45
2/24/2021 16:00:00,69.47
2/25/2021 16:00:00,63.26
2/26/2021 16:00:00,65.66
3/1/2021 16:00:00,66.67
3/2/2021 16:00:00,64.51
3/3/2021 16:00:00,60.02
3/4/2021 16:00:00,57.71
3/5/2021 16:00:00,57.43
3/8/2021 16:00:00,52.89
3/9/2021 16:00:00,56.3
3/10/2021 16:00:00,55.07
3/11/2021 16:00:00,59.62
3/12/2021 16:00:00,62.69
3/15/2021 16:00:00,63.74
3/16/2021 16:00:00,62.23
3/17/2021 16:00:00,63.95
3/18/2021 16:00:00,58.49
3/19/2021 16:00:00,58.36
3/22/2021 16:00:00,58.16
3/23/2021 16:00:00,55.26
3/24/2021 16:00:00,50.51
3/25/2021 16:00:00,51.41
3/26/2021 16:00:00,51.6
3/29/2021 16:00:00,49.57
3/30/2021 16:00:00,49.61
3/31/2021 16:00:00,52.29
4/1/2021 16:00:00,54.49
4/5/2021 16:00:00,54.11
4/6/2021 16:00:00,56.88
4/7/2021 16:00:00,60.23
4/8/2021 16:00:00,63.2
4/9/2021 16:00:00,63.27
4/12/2021 16:00:00,62.44
4/13/2021 16:00:00,62.44
4/14/2021 16:00:00,62.01
4/15/2021 16:00:00,63.89
4/16/2021 16:00:00,61.25
4/19/2021 16:00:00,60.44
4/20/2021 16:00:00,58.49
4/21/2021 16:00:00,58.3
4/22/2021 16:00:00,57.05
4/23/2021 16:00:00,61.3
4/26/2021 16:00:00,60.02
4/27/2021 16:00:00,60.51
4/28/2021 16:00:00,62.04
4/29/2021 16:00:00,62.28
4/30/2021 16:00:00,61.82
5/3/2021 16:00:00,59.17
5/4/2021 16:00:00,55.78
5/5/2021 16:00:00,54.07
5/6/2021 16:00:00,52.59
5/7/2021 16:00:00,54.7
5/10/2021 16:00:00,52.14
5/11/2021 16:00:00,53.29
5/12/2021 16:00:00,51.56
5/13/2021 16:00:00,50.96
5/14/2021 16:00:00,52.99
